      x1        x2         z
	 1.3085   -1.9764   -0.0062
   -0.7881   -1.0446   -0.3324
   -0.7881    1.8143    0.0403
    0.8010   -0.6568   -0.4200
         0    1.7047    0.0977
    1.5867    0.1830    0.0306
         0   -1.4458   -0.2456
   -1.4482   -0.8098   -0.0931
    1.3614   -0.6568   -0.1147
   -1.4482   -1.8447   -0.0080
   -0.1989    1.8143    0.0717
    0.4345         0         0
   -1.9066    1.9573    0.0011
    0.9437   -1.4458   -0.1009
         0    0.8794    0.6531
   -1.9888   -1.8447   -0.0013
   -0.1989   -0.8098   -0.6955
    2.1163    0.5490    0.0093
    1.3085    1.8143    0.0131
         0   -1.9764   -0.0364
   -0.6339    1.8143    0.0526
    1.3614   -1.7458   -0.0138
   -1.0969    0.5490    0.2188
   -0.7881    0.8794    0.3670
    2.1163    0.3689    0.0077
    0.6109   -1.7458   -0.0654
   -0.1989    0.8794    0.6171
   -0.6339   -1.8447   -0.0397
   -0.7881    1.9573    0.0211
    1.3614    1.0199    0.0909
   -1.0969    1.2694    0.1091
   -0.4071         0         0
    1.5867   -1.1440   -0.0434
    0.4345   -1.1440   -0.3839
    1.3085    1.0199    0.1135
   -1.4482   -0.3841   -0.0755
   -1.0969    0.1830    0.0954
    1.3614    0.1830    0.0537
   -0.1989   -1.0446   -0.5265
   -0.9249         0         0
   -0.6339    1.0199    0.4373
   -1.9888   -1.7458   -0.0019
   -1.9888   -1.0446   -0.0113
    2.1163    1.0199    0.0072
    0.4345    1.5012    0.1773
   -1.9066   -1.0446   -0.0167
   -0.4071    0.5490    0.6203
   -0.4071   -0.8098   -0.6700
    1.3085   -0.6568   -0.1299
   -0.7881    0.1830    0.1796
   -1.7202    1.0199    0.0339
    0.8010         0         0
   -1.7202   -1.9764   -0.0018
   -0.6339    0.5490    0.4772
    1.9191   -1.8447   -0.0015
   -1.4482    1.7047    0.0145
   -0.1989    1.7047    0.1138
   -1.4482    0.8794    0.0811
    0.4345   -1.4458   -0.2131
   -1.9066   -0.1999   -0.0097
   -0.9249   -1.4458   -0.1133
   -0.7881   -1.9764   -0.0213
   -0.6339   -0.6568   -0.5417
    0.8010   -1.0446   -0.2848
   -1.0969    1.8143    0.0234
   -0.4071   -1.1440   -0.4361
         0   -1.0446   -0.6023
   -0.6339    1.7047    0.0700
    2.1163   -1.1440   -0.0053
   -0.4071    1.7047    0.0902
    0.9437    1.0199    0.2628
    0.4345   -0.6568   -0.6991
   -1.9066         0         0
   -1.9888    0.1830    0.0064
   -1.9888    1.0199    0.0125
    2.1163    1.5012    0.0022
   -0.9249   -1.9764   -0.0164
    0.1872   -1.7458   -0.0921
   -1.0969         0         0
    0.8010    1.0199    0.3249
    0.1872         0         0
    1.3614    0.5490    0.1276
    1.3614   -1.0446   -0.0823
    1.3085   -0.8098   -0.1396
    0.8010   -1.9764   -0.0178
   -0.4071   -1.7458   -0.0814
   -1.9066    0.8794    0.0175
    0.9437   -1.9764   -0.0156
    2.1163    1.8143    0.0008
    0.6109   -1.0446   -0.3750
   -0.4071    0.8794    0.5691
    1.3085   -0.3841   -0.1096
    0.9437   -0.3841   -0.2664
   -1.9066   -1.4458   -0.0060
    0.4345    1.8143    0.0598
   -0.9249    1.5012    0.0895
    0.8010    1.5012    0.1118
    0.9437    0.8794    0.2656
    0.9437    1.9573    0.0181
   -1.9066   -1.7458   -0.0023
   -0.6339   -1.4458   -0.1774
