        x1        x2         z
         0         0         0
         0    0.2967    0.2762
         0    0.6294    0.5461
         0    0.9298    0.7698
         0    1.1519    0.8686
         0    1.5818    1.0462
         0    1.7479    1.0115
         0    1.9279    1.0260
         0    2.5090    0.5712
         0    2.7486    0.3814
         0    2.8169    0.3139
         0   -0.3094   -0.3268
         0   -0.5556   -0.4864
         0   -0.8417   -0.7375
         0   -1.2175   -1.0210
         0   -1.6039   -0.9710
         0   -1.7989   -0.9832
         0   -2.1076   -0.8355
         0   -2.2443   -0.8153
         0   -2.7585   -0.3891
         0   -3.0138   -0.1331
    0.3119         0         0
    0.3119    0.2967    0.2715
    0.3119    0.6294    0.5905
    0.3119    0.9298    0.7170
    0.3119    1.1519    0.8439
    0.3119    1.5818    0.8980
    0.3119    1.7479    0.8438
    0.3119    1.9279    0.8367
    0.3119    2.5090    0.5571
    0.3119    2.7486    0.3621
    0.3119    2.8169    0.3147
    0.3119   -0.3094   -0.3063
    0.3119   -0.5556   -0.5508
    0.3119   -0.8417   -0.7180
    0.3119   -1.2175   -0.8736
    0.3119   -1.6039   -0.9670
    0.3119   -1.7989   -1.0108
    0.3119   -2.1076   -0.8104
    0.3119   -2.2443   -0.7328
    0.3119   -2.7585   -0.3609
    0.3119   -3.0138   -0.1312
    0.6334         0         0
    0.6334    0.2967    0.2302
    0.6334    0.6294    0.4326
    0.6334    0.9298    0.6737
    0.6334    1.1519    0.7773
    0.6334    1.5818    0.8409
    0.6334    1.7479    0.7331
    0.6334    1.9279    0.7285
    0.6334    2.5090    0.5114
    0.6334    2.7486    0.2925
    0.6334    2.8169    0.2661
    0.6334   -0.3094   -0.2214
    0.6334   -0.5556   -0.4534
    0.6334   -0.8417   -0.6151
    0.6334   -1.2175   -0.7580
    0.6334   -1.6039   -0.8355
    0.6334   -1.7989   -0.8434
    0.6334   -2.1076   -0.6404
    0.6334   -2.2443   -0.5766
    0.6334   -2.7585   -0.3196
    0.6334   -3.0138   -0.0951
    0.8757         0         0
    0.8757    0.2967    0.1838
    0.8757    0.6294    0.3576
    0.8757    0.9298    0.5163
    0.8757    1.1519    0.6193
    0.8757    1.5818    0.6752
    0.8757    1.7479    0.6144
    0.8757    1.9279    0.5924
    0.8757    2.5090    0.4155
    0.8757    2.7486    0.2568
    0.8757    2.8169    0.2205
    0.8757   -0.3094   -0.2049
    0.8757   -0.5556   -0.3184
    0.8757   -0.8417   -0.4886
    0.8757   -1.2175   -0.5428
    0.8757   -1.6039   -0.5869
    0.8757   -1.7989   -0.6800
    0.8757   -2.1076   -0.5427
    0.8757   -2.2443   -0.5255
    0.8757   -2.7585   -0.2281
    0.8757   -3.0138   -0.0739
    1.2983         0         0
    1.2983    0.2967    0.0721
    1.2983    0.6294    0.1470
    1.2983    0.9298    0.1955
    1.2983    1.1519    0.2347
    1.2983    1.5818    0.2831
    1.2983    1.7479    0.2881
    1.2983    1.9279    0.2277
    1.2983    2.5090    0.1452
    1.2983    2.7486    0.1043
    1.2983    2.8169    0.0887
    1.2983   -0.3094   -0.0814
    1.2983   -0.5556   -0.1529
    1.2983   -0.8417   -0.1847
    1.2983   -1.2175   -0.2616
    1.2983   -1.6039   -0.2617
    1.2983   -1.7989   -0.2439
    1.2983   -2.1076   -0.2203
    1.2983   -2.2443   -0.1930
    1.2983   -2.7585   -0.0919
    1.2983   -3.0138   -0.0324
    1.5159         0         0
    1.5159    0.2967    0.0167
    1.5159    0.6294    0.0292
    1.5159    0.9298    0.0448
    1.5159    1.1519    0.0486
    1.5159    1.5818    0.0542
    1.5159    1.7479    0.0501
    1.5159    1.9279    0.0480
    1.5159    2.5090    0.0329
    1.5159    2.7486    0.0202
    1.5159    2.8169    0.0172
    1.5159   -0.3094   -0.0158
    1.5159   -0.5556   -0.0317
    1.5159   -0.8417   -0.0446
    1.5159   -1.2175   -0.0558
    1.5159   -1.6039   -0.0508
    1.5159   -1.7989   -0.0514
    1.5159   -2.1076   -0.0481
    1.5159   -2.2443   -0.0425
    1.5159   -2.7585   -0.0221
    1.5159   -3.0138   -0.0066
    1.9283         0         0
    1.9283    0.2967   -0.1117
    1.9283    0.6294   -0.2184
    1.9283    0.9298   -0.2868
    1.9283    1.1519   -0.3445
    1.9283    1.5818   -0.3513
    1.9283    1.7479   -0.3419
    1.9283    1.9279   -0.3112
    1.9283    2.5090   -0.2176
    1.9283    2.7486   -0.1207
    1.9283    2.8169   -0.1138
    1.9283   -0.3094    0.1090
    1.9283   -0.5556    0.1885
    1.9283   -0.8417    0.2435
    1.9283   -1.2175    0.3115
    1.9283   -1.6039    0.3335
    1.9283   -1.7989    0.3573
    1.9283   -2.1076    0.2960
    1.9283   -2.2443    0.2950
    1.9283   -2.7585    0.1283
    1.9283   -3.0138    0.0442
    2.2922         0         0
    2.2922    0.2967   -0.2069
    2.2922    0.6294   -0.4135
    2.2922    0.9298   -0.5643
    2.2922    1.1519   -0.5955
    2.2922    1.5818   -0.6657
    2.2922    1.7479   -0.7038
    2.2922    1.9279   -0.6308
    2.2922    2.5090   -0.3519
    2.2922    2.7486   -0.2345
    2.2922    2.8169   -0.2011
    2.2922   -0.3094    0.2188
    2.2922   -0.5556    0.3682
    2.2922   -0.8417    0.5297
    2.2922   -1.2175    0.5803
    2.2922   -1.6039    0.6024
    2.2922   -1.7989    0.6708
    2.2922   -2.1076    0.5794
    2.2922   -2.2443    0.5161
    2.2922   -2.7585    0.2693
    2.2922   -3.0138    0.0867
    2.5464         0         0
    2.5464    0.2967   -0.2260
    2.5464    0.6294   -0.5141
    2.5464    0.9298   -0.6522
    2.5464    1.1519   -0.7880
    2.5464    1.5818   -0.8002
    2.5464    1.7479   -0.8234
    2.5464    1.9279   -0.8529
    2.5464    2.5090   -0.5059
    2.5464    2.7486   -0.3081
    2.5464    2.8169   -0.2847
    2.5464   -0.3094    0.2739
    2.5464   -0.5556    0.4253
    2.5464   -0.8417    0.5789
    2.5464   -1.2175    0.7125
    2.5464   -1.6039    0.7743
    2.5464   -1.7989    0.8150
    2.5464   -2.1076    0.7373
    2.5464   -2.2443    0.6391
    2.5464   -2.7585    0.2812
    2.5464   -3.0138    0.1099
    2.6557         0         0
    2.6557    0.2967   -0.2550
    2.6557    0.6294   -0.5403
    2.6557    0.9298   -0.7097
    2.6557    1.1519   -0.8428
    2.6557    1.5818   -0.8491
    2.6557    1.7479   -0.9063
    2.6557    1.9279   -0.8973
    2.6557    2.5090   -0.5443
    2.6557    2.7486   -0.3498
    2.6557    2.8169   -0.2614
    2.6557   -0.3094    0.2632
    2.6557   -0.5556    0.4388
    2.6557   -0.8417    0.6444
    2.6557   -1.2175    0.8750
    2.6557   -1.6039    0.9024
    2.6557   -1.7989    0.8323
    2.6557   -2.1076    0.7563
    2.6557   -2.2443    0.7595
    2.6557   -2.7585    0.3459
    2.6557   -3.0138    0.1112
    3.0618         0         0
    3.0618    0.2967   -0.2660
    3.0618    0.6294   -0.6012
    3.0618    0.9298   -0.8208
    3.0618    1.1519   -0.8343
    3.0618    1.5818   -1.0658
    3.0618    1.7479   -1.0522
    3.0618    1.9279   -0.9823
    3.0618    2.5090   -0.6409
    3.0618    2.7486   -0.4196
    3.0618    2.8169   -0.3274
    3.0618   -0.3094    0.2926
    3.0618   -0.5556    0.5284
    3.0618   -0.8417    0.6927
    3.0618   -1.2175    0.9291
    3.0618   -1.6039    1.0085
    3.0618   -1.7989    0.8964
    3.0618   -2.1076    0.9355
    3.0618   -2.2443    0.7634
    3.0618   -2.7585    0.3728
    3.0618   -3.0138    0.1238
